year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brands,car_names,variants,insurance
2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,5.0,Maruti,Swift,Dzire ZDI,Comprehensive
2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16 kmpl,1196 CC,86.8 bhp,5.0,Ford,Figo,1.2P Titanium MT,Comprehensive
2019,650000,30000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5.0,Maruti,Baleno,Delta 1.2,Third Party
2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0 kmpl,1498 CC,108.495 bhp,5.0,Volkswagen,Ameo,1.5 TDI Highline 16 Alloy,Comprehensive
2015,630000,135000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,5.0,Honda,City,i DTEC VX,Third Party
2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,5.0,Maruti,Wagon,R AMT VXI,Comprehensive
2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,5.0,Volkswagen,Ameo,1.5 TDI Comfortline,Comprehensive
2016,745000,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Vitara,Brezza VDi,Third Party
2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Vitara,Brezza ZDi Plus AMT,Comprehensive
2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0,Hyundai,i10,Magna,Third Party
2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5.0,Maruti,Swift,VDI Deca,Comprehensive
2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,7.0,Toyota,Fortuner,4x4 MT,Comprehensive
2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,5.0,Maruti,Swift,Star VDI,Third Party
2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,7.0,Maruti,Ertiga,ZXI,Comprehensive
2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,5.0,Volkswagen,Vento,Diesel Highline,Third Party
2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,8.0,Toyota,Innova,2.5 VX (Diesel) 8 Seater,Comprehensive
2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5.0,Ford,EcoSport,1.5 TDCi Titanium Plus BSIV,Comprehensive
2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71 kmpl,1998 CC,189 bhp,5.0,BMW,X1,sDrive20i xLine,Third Party
2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,5.0,Maruti,Celerio,ZXI MT BSIV,Comprehensive
2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,5.0,Datsun,GO,A Petrol,Third Party
2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0,Maruti,Alto,800 VXI BSIV,Comprehensive
2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0,Maruti,Alto,800 LXI BSIV,Comprehensive
2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0,Hyundai,i10,Era 1.1,Third Party
2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,5.0,Maruti,Omni,8 Seater BSIV,Comprehensive
2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2 km/kg,998 CC,58.2 bhp,5.0,Maruti,Wagon,R LXI LPG BSIV,Third Party
2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,5.0,Volkswagen,Polo,1.2 MPI Comfortline,Comprehensive
2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0,Hyundai,i10,Magna 1.1L,Comprehensive
2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04 kmpl,1598 CC,103.6 bhp,5.0,Volkswagen,Vento,Petrol Highline,Third Party
2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2 kmpl,998 CC,67.1 bhp,5.0,Maruti,Zen,Estilo LXI BSIII,Comprehensive
2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,5.0,Hyundai,i20,Asta Optional with Sunroof 1.2,Third Party
2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0,Maruti,Swift,Dzire LDI,Comprehensive
2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1 kmpl,1197 CC,82 bhp,5.0,Hyundai,Xcent,1.2 Kappa SX Option AT,Comprehensive
2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,Maruti,Alto,LX BSIII,Third Party
2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0,Hyundai,i20,1.4 Asta Option,Comprehensive
2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79 kmpl,998 CC,67.05 bhp,5.0,Maruti,Wagon,R VXI,Third Party
2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,5.0,Tata,Manza,Aura (ABS) Quadrajet,Comprehensive
2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5.0,Maruti,Swift,VXI,Comprehensive
2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,7.0,Maruti,Eeco,7 Seater Standard BSIV,Third Party
2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5.0,Maruti,Baleno,Zeta 1.2,Comprehensive
2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,8.0,Mahindra,Scorpio,VLX AT AIRBAG BSIV,Third Party
2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1194 CC,94.68 bhp,5.0,Ford,Freestyle,Titanium Petrol BSIV,Comprehensive
2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5.0,Hyundai,Verna,VTVT 1.6 SX,Comprehensive
2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3 kmpl,1798 CC,160 bhp,5.0,Volkswagen,Passat,1.8 TSI MT,Third Party
2010,300000,48000,Petrol,Individual,Manual,First Owner,15.8 kmpl,1172 CC,65 bhp,5.0,Tata,Indica,Vista Aura 1.2 Safire (ABS) BS IV,Comprehensive
2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,155 bhp,7.0,Mahindra,XUV500,W11 Option AWD,Third Party
2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,5.0,Tata,Indigo,CS LS (TDI) BS-III,Comprehensive
2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,5.0,Hyundai,Verna,1.6 SX,Comprehensive
2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,5.0,Hyundai,i20,Magna 1.4 CRDi (Diesel),Third Party
2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.53 kmpl,1798 CC,138.1 bhp,5.0,Toyota,Corolla,Altis G,Comprehensive
2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,5.0,Maruti,Celerio,VXI,Third Party
2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Vitara,Brezza ZDi Plus Dual Tone,Comprehensive
2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,5.0,Maruti,Swift,Dzire VXI,Comprehensive
2017,440000,35000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5.0,Maruti,Wagon,R VXI BS IV,Third Party
2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,5.0,Nissan,Terrano,XL 85 PS,Comprehensive
2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5.0,Hyundai,Creta,1.6 CRDi SX,Third Party
2017,850000,76139,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5.0,Ford,EcoSport,1.5 Diesel Titanium Plus BSIV,Comprehensive
2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0,Maruti,Swift,Dzire VDi,Comprehensive
2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,5.0,Renault,KWID,1.0,Third Party
2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,5.0,Maruti,Celerio,VXI,Comprehensive
2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,Maruti,Alto,LXi,Third Party
2013,625000,90000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0,Maruti,Ertiga,VDI,Comprehensive
2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1086 CC,62.1 bhp,5.0,Hyundai,Santro,Xing GLS,Comprehensive
2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0,Maruti,Ertiga,VDI,Third Party
2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,5.0,Honda,Amaze,S i-VTEC,Comprehensive
2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,5.0,Audi,Q5,35TDI Premium Plus,Third Party
2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,5.0,Lexus,ES,300h,Comprehensive
2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,5.0,Jaguar,XF,2.0 Diesel Portfolio,Comprehensive
2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,5.0,Jeep,Wrangler,2016-2019 3.6 4X4,Third Party
2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83 kmpl,1999 CC,148.31 bhp,7.0,Land,Rover,Discovery Sport TD4 SE,Comprehensive
2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,254.79 bhp,5.0,Mercedes-Benz,S-Class,S 350 CDI,Third Party
2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48 kmpl,1995 CC,187.74 bhp,5.0,BMW,5,Series 520d Sport Line,Comprehensive
2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,5.0,BMW,X4,M Sport X xDrive20d,Comprehensive
2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67 kmpl,1798 CC,177.46 bhp,5.0,Skoda,Superb,LK 1.8 TSI AT,Third Party
2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0 kmpl,2143 CC,204 bhp,5.0,Mercedes-Benz,E-Class,E250 Edition E,Comprehensive
2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96 kmpl,1451 CC,141 bhp,5.0,MG,Hector,Sharp AT BSIV,Third Party
2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,5.0,Honda,City,i-VTEC CVT VX,Comprehensive
2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5.0,Toyota,Corolla,Altis 1.8 G CVT,Comprehensive
2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,5.0,Volvo,XC40,D4 R-Design,Third Party
2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07 kmpl,2967 CC,241.4 bhp,7.0,Audi,Q7,35 TDI Quattro Premium,Comprehensive
2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.21 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Ciaz,ZDi,Third Party
2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,282 bhp,5.0,Mercedes-Benz,S-Class,S 350 CDI,Comprehensive
2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8 kmpl,2497 CC,150 bhp,5.0,BMW,5,Series 523i,Comprehensive
2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,5.0,Hyundai,Elantra,S,Third Party
2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,5.0,Jaguar,XE,2016-2019 2.0L Diesel Prestige,Comprehensive
2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,5.0,Tata,Nexon,1.2 Revotron XZ Plus Dual Tone,Third Party
2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04 kmpl,1598 CC,103.6 bhp,5.0,Volkswagen,Vento,Petrol Highline,Comprehensive
2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,5.0,Hyundai,Elantra,SX,Comprehensive
2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,5.0,Skoda,Rapid,1.6 MPI AT Elegance,Third Party
2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04 kmpl,1991 CC,183 bhp,5.0,Mercedes-Benz,CLA,200 CGI Sport,Comprehensive
2014,599000,46100,Petrol,Dealer,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,7.0,Maruti,Ertiga,ZXI,Third Party
2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74 kmpl,1991 CC,181.04 bhp,5.0,Mercedes-Benz,New,C-Class C 200 AVANTGARDE,Comprehensive
2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6 kmpl,1497 CC,116.3 bhp,5.0,Honda,City,V AT,Comprehensive
2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56 kmpl,1197 CC,81.80 bhp,5.0,Toyota,Glanza,V CVT,Third Party
2011,175000,11000,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5.0,Maruti,Alto,K10 VXI,Comprehensive
2012,340000,24300,Petrol,Dealer,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5.0,Maruti,Swift,VXI,Third Party
2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,7.0,Toyota,Innova,Crysta 2.8 ZX AT BSIV,Comprehensive
2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5 kmpl,1497 CC,108.5 bhp,5.0,Tata,Nexon,1.5 Revotorq XZA Plus DualTone,Comprehensive
2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69 kmpl,1995 CC,190 bhp,5.0,BMW,3,Series 320d Luxury Line,Third Party
2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,5.0,Toyota,Camry,2.5 Hybrid,Comprehensive
2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12 kmpl,1995 CC,190 bhp,5.0,BMW,5,Series 520d Luxury Line,Third Party
2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1 kmpl,2362 CC,164.7 bhp,5.0,Toyota,Camry,W4 (AT),Comprehensive
2016,850000,20000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1373 CC,91.1 bhp,7.0,Maruti,Ertiga,BSIV ZXI Plus,Comprehensive
2017,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0 kmpl,1969 CC,400 bhp,4.0,Volvo,XC90,T8 Excellence BSIV,Third Party
2011,300000,100000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,5.0,Volkswagen,Vento,Diesel Highline,Comprehensive
2018,575000,9500,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,5.0,Ford,Figo,Aspire 1.2 Ti-VCT Trend,Third Party
2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0,Ford,Figo,Diesel LXI,Comprehensive
2015,515000,36600,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5.0,Maruti,Swift,VXI Optional,Comprehensive
2015,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51 kmpl,998 CC,67 bhp,5.0,Maruti,Wagon,R AMT VXI,Third Party
2016,550000,14000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0,Hyundai,i20,Magna 1.2,Comprehensive
1999,40000,40000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4.0,Maruti,800,Std,Third Party
2010,220000,120000,Diesel,Individual,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,5.0,Maruti,Ritz,VDi,Comprehensive
